PPFD	A619	A619	A619	a619-8	a619-10
2000	48.5111358	51.52067411	47.84240411	51.28961461	49.44857217
1600	46.34502874	47.7630636	44.43416424	50.52839415	47.90285524
1200	42.4039135	42.36792809	40.03807262	46.35770793	44.09090763
1000	38.36399003	38.17752091	36.59393863	41.72854671	40.42079342
800	32.66000211	32.63812053	31.6569682	35.25845644	35.30695528
600	24.96697537	24.90400803	24.70428379	27.13453925	27.93442944
400	16.18378583	16.357294	16.25941965	17.93908758	18.55783107
300	12.09178951	11.97556264	11.82070702	13.39017511	13.53543003
200	7.332604091	7.110893446	7.031295336	8.694644439	8.47449943
150	5.035980145	4.906211806	4.667078236	6.208576215	5.953544218
100	2.69363872	2.630532154	2.459481711	3.493918055	3.218365444
50	-0.270056416	-0.840251538	-0.616817125	0.232392554	0.330262523
0	-5.495169622	-5.781113275	-5.079552237	-4.877279758	-4.478943888
