PPFD	a619-8-low	a619-7-low	a619-9-low	a619-4-low	a619-6-low
2000	35.06	35.6	34.22	39.29834044	33.6518425
1600	35.06	36.56	35.6	39.3214136	32.70196528
1200	33.3	34.08	33.3	36.54242095	30.28165502
1000	31.54	31.64	31.06	34.29584001	28.44367827
800	28.36	28.2	28.36	30.75718666	26.07636297
600	23.84	23.34	23.74	25.65859324	22.56047498
400	16.84	16.02	16.16	17.93339331	17.15722004
300	12.42	11.64	12.22	13.33258916	13.17929549
200	7.644	7.216	6.962	8.42678497	8.752528935
150	5.504	4.94	5.252	5.867553445	6.34021211
100	3.284	2.72	2.79	3.554238181	3.157639483
50	0.8228	0.3912	-0.04314	0.675899684	0.248659027
0	-2.892	-3.554	-4.082	-3.944445033	-4.243802523
