PPFD	a619-6-low	a619-4-low	a619-7-low	a619-9-low	A619
2000	33.76	29.3	33.25068941	45.08782598	34.41315237
1600	32.08	27.4	32.50777014	42.73766881	32.7170538
1200	28.94	24.56	30.165704	37.52742136	30.10620602
1000	26.56	22.7	28.36553679	35.21649294	27.87430494
800	23.8	20.34	25.98749926	31.52352556	23.90014195
600	19.56	17.56	22.43516998	25.15019456	22.45409304
400	13.62	13.3	17.77558755	17.33559959	17.38944162
300	9.922	10.3	14.39013698	13.5083231	14.20451186
200	6.118	6.442	9.822218897	8.975267294	8.879440978
150	4.358	4.922	7.176115374	6.431801139	5.862516724
100	2.64	2.994	4.477880647	4.006488576	4.246722872
50	0.6852	0.9052	1.584229561	1.115125209	1.295806288
0	-2.68	-2.036	-2.712122058	-3.506742167	-2.83686018
