PPFD	a619-6-up	a619-4-up	a619-7-up	a619-9-up	a619-8-up
2000	47.7534596	44.7753852	45.61293294	46.66062997	39.86103055
1600	45.47695436	42.29134327	43.40754653	45.18721002	38.23026407
1200	41.46780641	38.47249923	39.17502118	40.77833526	34.60628763
1000	38.15503668	35.8883345	35.94618443	36.5192677	32.52447364
800	33.23553891	32.27561214	31.39523768	30.6185662	28.5657788
600	26.69034394	26.71710967	25.00746123	23.59078413	23.77543246
400	17.99927249	18.62726981	16.88418472	15.56667404	18.62048535
300	13.35722236	14.00539647	12.6286619	12.36745945	12.21324884
200	8.696278601	9.312240671	8.412715256	7.700388179	8.977936293
150	6.302255795	6.824821594	6.188299525	5.702464524	5.974939488
100	3.799431781	4.514302375	3.848417312	3.229694931	3.508266601
50	0.906199827	1.346944312	1.246708157	0.229127015	0.617570229
0	-3.689295304	-3.434463272	-3.716004683	-4.657073722	-2.993222858
