PPFD	a619-9	a619-8-up	a619-6-up	a619-7	a619-4
2000	39.41231567	37.56779664	35.50384039	35.29079192	37.78845145
1600	38.53624663	36.30604014	35.23336711	33.64200666	36.28619552
1200	35.3671435	33.48188794	33.45111869	30.84733615	33.5246397
1000	32.43532215	31.15040904	31.41511867	28.48303597	31.59977035
800	28.00453588	28.45071588	28.18853266	25.94416992	28.66372893
600	21.83658437	24.43603996	23.23018121	22.75880497	24.7173333
400	14.85415581	18.06618238	16.1282868	17.4500216	18.05703144
300	11.04583388	13.46542667	11.74509603	13.11090631	13.5883984
200	7.161871267	8.475706744	7.268262713	8.615533815	8.968454299
150	5.093436928	5.916657759	4.962461639	6.138816161	6.599279127
100	3.047564305	3.313882191	3.030705995	3.702384618	4.131618832
50	0.355555645	0.839819451	0.317970322	0.98299883	1.384539344
0	-4.479547468	-3.537562229	-4.423970492	-3.177263754	-3.16488531
