PPFD	W64A	W64A	W64A	w64a-9	w64a-12
2000	39.05775453	44.94207116	36.23661107	42.84154969	39.05259719
1600	38.83969089	42.46753076	36.75107314	41.18614644	37.07762187
1200	35.49888403	38.04473423	33.22384767	36.77926426	34.00619565
1000	32.20064226	33.90700372	30.20898569	33.14554974	31.76649884
800	27.70841288	27.91469783	25.49944993	28.13606614	28.82567001
600	21.62792619	21.77962261	19.50802979	21.82915548	24.44752496
400	14.48271177	14.32911292	12.86657334	14.79048571	17.48148622
300	10.93831736	10.54053421	9.576636295	11.02184094	13.35492873
200	6.77406361	6.556014079	5.462518896	7.029421904	8.862551501
150	4.845370914	4.693414553	3.914444381	5.188377458	6.567215988
100	2.596229608	2.442483685	1.92837414	3.145888401	3.998428331
50	0.518128218	0.118863293	-0.085084287	0.645270761	1.595510323
0	-4.450028687	-5.208819695	-4.58786978	-4.459574187	-2.955215362
