PPFD	w64a-10-low	w64a-9-low	W64A	w64a-11	w64a-13-low
2000	33.72	30.8	31.02	33.92376665	33.36625509
1600	33.04	31.3	30.74	32.33159383	31.50218465
1200	29.46	28.62	26.58	29.24381241	29.01346014
1000	26.28	26.42	24.42	27.24787303	27.2016501
800	22.72	23.22	20.84	24.07205551	24.66787512
600	17.96	18.88	17.02	19.78381067	21.38786704
400	12.18	12.56	11.22	13.77590542	14.3248365
300	9.08	9.942	9.008	10.61241169	11.92895939
200	5.68	6.474	5.556	6.634259232	7.319396056
150	3.856	4.44	4.35	5.006095905	5.382228245
100	2.06	2.514	2.934	3.086870443	3.626150922
50	0.3868	0.6688	1.256	0.942738704	1.299105712
0	-3.27	-2.636	-2.218	-3.288514456	-3.034081492
