PPFD	w64a-13	w64a-10	w64a-2-up	w64a-11-up	w64a-9-up
2000	29.74079401	34.47726593	31.55610299	36.18047283	27.26320718
1600	27.80895343	33.46306415	30.41532672	34.03858999	25.89747941
1200	26.00549737	30.41295542	28.30821634	30.40117881	23.49112654
1000	24.35884306	26.77188706	26.46497036	27.2003457	21.92634608
800	22.40220327	22.76883403	23.7028958	23.06523818	19.8723903
600	19.28659211	17.82601661	19.7288459	18.20475227	17.26041599
400	14.98388573	12.53057374	13.33290185	12.54483272	13.65931069
300	10.97678862	9.437842397	10.38800872	9.212312184	10.67552791
200	7.08349548	6.031518626	6.093171901	5.974403225	7.040357342
150	5.130902812	4.565742594	4.715519106	4.114266803	5.210121223
100	3.082801465	2.68641795	2.240802825	2.300328029	2.864298995
50	1.197286147	0.729447232	0.582189619	0.324523595	0.7378849
0	-3.073166041	-4.052289793	-2.658577711	-4.184745669	-2.619235462
