PPFD	w64a-2-low	w64a-9-low	w64a-10-low	w64a-13-low	w64a-11-low
2000	19.51487597	18.43745699	23.32375473	22.4898912	24.04818029
1600	18.92778127	17.59076105	22.51254906	21.73572067	23.13334135
1200	17.7998717	16.45685766	21.13383453	20.38873916	21.32906331
1000	17.49283214	15.65578464	19.86589654	19.46579595	20.05979152
800	16.2246054	14.47685047	18.82192556	18.08259115	18.83985855
600	15.39150644	13.17437699	16.74751048	16.56332758	16.48846737
400	13.27989996	11.37862841	13.19023847	13.32696009	13.28844738
300	11.34325326	10.01353199	10.58949683	10.93529268	10.60751292
200	8.244759349	7.4296485	7.656289442	7.725609671	7.47187422
150	6.553173166	5.542897186	5.878163824	5.876755524	5.710285093
100	4.223656627	3.73337353	4.021146089	4.121621155	3.970515432
50	2.043783836	1.770488644	1.958713269	2.058426058	1.784561458
0	-1.258102065	-1.571141927	-1.602346167	-1.547554849	-1.806333708
