PPFD	w64a-13-up	w64a-10-up	w64a-11-up	w64a-2-up	w64a-9-up
2000	25.19 	28.28 	27.97 	25.85 	30.22 
1600	23.73 	27.19 	27.35 	26.65 	29.30 
1200	21.53 	25.29 	25.42 	25.92 	27.08 
1000	19.99 	23.60 	23.68 	24.70 	25.43 
800	18.42 	21.52 	21.08 	22.29 	23.09 
600	16.23 	17.85 	17.19 	18.77 	19.55 
400	13.27 	12.84 	12.29 	13.61 	14.39 
300	10.89 	10.07 	9.40 	10.59 	11.28 
200	7.76 	7.01 	6.43 	7.18 	7.62 
150	5.61 	5.37 	4.67 	5.41 	5.83 
100	3.77 	3.71 	3.02 	3.67 	3.46 
50	1.53 	1.65 	1.21 	1.43 	1.48 
0	-1.96 	-2.29 	-2.62 	-2.31 	-2.10 
